Rank,University,Articles,Score,Country
78,Southern Methodist University (Edwin L. Cox School of Business),53,22.12,USA
79,University of Kentucky (Gatton College of Business and Economics),52,21.6,USA
80,"University of Virginia, Darden (Darden School of Business)",62,20.91,USA
81,Texas Christian University (Neeley School of Business),53,20.38,USA
82,George Mason University (School of Business),52,20.32,USA
83,University of Delaware (Alfred Lerner College of Business and Economics),54,19.96,USA
84,Iowa State University (Ivy College of Business),52,19.41,USA
85,University of California at Riverside (A. Gary Anderson Graduate School of Management),46,19.26,USA
86,"University of Virginia, McIntire (McIntire School of Commerce)",43,19.24,USA
87,University of Alabama at Tuscaloosa (Culverhouse College of Commerce and Business Administration),42,18.81,USA
88,"York University, Toronto (Schulich School of Business)",51,18.73,Canada
89,Santa Clara University (Leavey School of Business),50,17.77,USA
90,Florida International University (College of Business),46,17.6,USA
91,University of Massachusetts at Amherst (Eugene M.Isenberg School of Management),41,17.31,USA
92,Case Western Reserve University (Weatherhead School of Management),41,17.27,USA
93,University of California at Davis (Graduate School of Management),38,17.15,USA
94,Florida State University (College of Business),42,17.09,USA
95,Drexel University (Bennett S. LeBow College of Business),45,16.85,USA
96,Syracuse University (The Martin J. Whitman School of Management),43,16.36,USA
97,University at Buffalo / State University of New York (SUNY) at Buffalo (School of Management),37,16.3,USA
98,University of Calgary (Haskayne School of Business),40,15.94,Canada
99,University of Cincinnati (Lindner College of Business),44,15.66,USA
100,American University (Kogod School of Business),35,15.53,USA
